heter	heter
hände	hände
var	var
blev	blev
behövde	behövde
var	var
löste	tappade
fortsatte	fortsatte
läsa	läsa
skulle	skulle
hämta	hämta
såg	såg
var	var
var	var
bestämde	bestämde
göra	göra
knöt	knöt
gick	gick
visslade	visslade
gjorde	gjorde
blev	blev
försökte	försökte
komma	komma
hände	hände
var	var
fall	föll
skrattade	skrattade
såg	såg
hoppas	hoppas
träffar	träffar
var	var
var	var
var	var
stiggde	steg
blev	blev
försökte	försökte
prata	prata
fel	fel
tog	hade
var	var
var	var
log	log
visslade	visslade
försokte	försökte
vara	vara
var	var
var	var
fortsatte	fortsatte
ville	ville
röka	röka
tycker	tycker
har	har
läst	läst
började	började
vissla	visslade
vissade	visade
var	var
blev	blev
gick	gick
kunde	kunde
var	var
vaknade	vaknade
berättade	berättade
har	hade
sovit	sovit
vet	vet
vill	vill
hitta	hitta
är	är
älska	älskar
kan	kan
glömma	glömma
ska	ska
göra	göra
får	får
bor	bor
får	får
är	är
brukar	brukar
läsa	läsa
tycker	tycker
är	är
tror	tror
finns	finns
är	är
hände	hände
tror	tror
är	är
kan	kan
säga	säga
brukar	brukar
läsa	läsa
händer	händer
kommer	kommer
är	är
göra	göra
är	är
är	är
är	är
har	har
göra	göra
bor	bor
är	är
läsa	läsa
var	var
blev	blev
är	är
läsa	läsa
är	är
händer	händer
kunde	kunde
skriva	skriva
händer	händer
är	är
måste	måste
sälja	sälja
är	är
är	är
kan	kan
läsa	läsa
tror	tror
behöver	behöver
kommer kommer
har	har
är	är
skriver	skriver
hände	hände
är	är
är	är
svara	svara
skulle	skulle
har	ha
startat	startat
var	var
invadera	invadera
skulle	skulle
låsa	lösa
betyder	betyder
använder	använder
kriteserar	kritiserar
säger	säger
menar	menar
tillhör	tillhör
är	är
tar	tar
tror	tror
gav	gav
ville	ville
testa	testa
följer	följer
säger	säger
var	var
börjar	börja
händer	händer
låter	låter
är	är
behöver	behöver
visar	visa
är	är
var	var
var	var
dra	dra
attackerar	attackerar
Är	Är
sa	sa
var	var
verkar	verkar
behövde	behövde
visa	visa
är	är
leka	leka
tror	tror
bestämmer	bestämmer
är	är
var	var
skulle	skulle
stoppa stoppa
avsatt	avsatt
ge	ge
bestämma	bestämma
sa	sa
var	var
spelade	spelade
spelar	spelar
ser	ser
är	är
är	är
har	har
är	är
prata	prata
är	är
är	är
handlar	handlar
är	är
känner	känner
tyckte	tyckte
tror	tror
är	är
behöver	behöver
veta	veta
måste	måste
läsa	läsa
köpte	köpte
vill	vill
veta	veta
intresserad	intresserar
dör	dör
är	är
informera	informera
vill	vill
följa	följa
gifter	gifter
skaffa	skaffar
måste	måste
köpte	köpte
kan	kan
säga	säga
läser	läser
vill	vill
har	har
betalt	betalt
finns	finns
ser	ser
har	har
pratar	pratar
är	är
är	är
blir	blir
blev	blivit
är	är
konstatera konstatera
får	får
kommer	kommer
kommer	kommer
var	var
var	var
hörde	hörde
var	var
är	är
har	har
har	har
är	är
var	var
ser	ser
finns	finns
vill	vill
säga	säga
är	är
gör	gör
vill	vill
prata	pratar
kan	kan
pratar	prata
pratar	pratar
vara	vara
säger	säger
är	är
var	var
var	var
var	var
kunde	kunde
göra	göra
kunde	kunde
göra	göra
var	var
ändrades	ändrades
finns	finns
bor	bor
har	har
har	har
är	är
är	är
är	är
ser	ser
känner	känner
har	har
är	är
nådde	nådde
gör	gör
låt	låter
göra	det
har	har
vaknar	vaknar
kan	kan
somna	somna
tar	tar
bad	bad
be	be
kunde	kunde
ville	ville
gå	gå
vaknade	vaknade
låg	lade
ville	ville
började	började
gråta	gråta
somnade	somnade
tror	tror
respektera	respektera
lära	lära
är	är
vill	vill
är	är
var	var
påverka	påverka
är	är
har	har
händer	händer
undrar	undrar
ska	ska
bli	bli
var	var
var	var
hade	hade
sett	sett
kom	kom
bestämde	bestämde
ha	ha
ha	ha
ringde	ringde
bestämde	bestämde
gå	gå
träffades	träffades
tänkte	tänkte
gå	gå
äta	äta
hade	hade
ätit	ätit
var	var
valde	valde
beställde	beställde
hörde	hörde
var	var
följa	följa
beställde	beställde
var	var
hade	hade
kom	kom
hade	hade
planerat	planerat
tog	tog
hade	hade
tagit	tagit
lade	lade
kallade	kallade
protestera	protestera
var	var
spelade	spelade
såg	såg
ville	ville
betala	betala
sad	sade
gick	gick
skrattade	skrattade
tänkte	tänkte
äta	äta
såg	såg
gick	gick
åt	åt
åt	åt
var	var
var	var
betala	betala
använde	använde
gick	gick
betala	betala
skrattade	skrattade
lovade	lovade
göra	göra
hade	hade
tänkt	tänkt
är	är
*************************
förändrar förändrar
promenerar  promenerar
ser ser
har har
är  är
föredrar  föredrar
bo  bor
är
är
behövde
kom
påverkade
visste
är
finns
serverar
kan
se
är
trivas
är
vill
arbetar
tjäna
går
försöker
lära
har
försöker
lära
är
har
vet
tror
är
är
säga
ta
tror
lösa
undvika
ska
fler
fler
lämna
utvandra
är
är
är
bör
försöka
hålla
har
fått
ska
försöka
ge
året
hade
varit
kom
var
hade
varit
är
bor
är
är
vet
är
var
kom
kan
hjälpa
överkomma
upplever
är
har
överdriver
jämföra
är
finns
kommer
längta
försöka
lära
laga
är
är
blir
gå
äta
kan
ätta	äta
bör
laga
kommer
bo
har
få
måste
anmälla	anmäla
tar
får
här
är
finns
kommer
trivas
är
gäller
kommer
försvinna
går
är
lever
blir
blir
blir
kan
se
skulle
säga
få
är
hinner
får
ska
glömma
har
kommer
lämna
är
kommer
är
kommer
träffa
finns
går
träffa
finns
vet
tycker
finns
kan
träffa
kan
äta
mat
kan
ha
betala
finns
hoppas
gav
hur
kommer
bli
är
är
kan
hjälpa
behöver
är
hoppas
kommer
trivas
måste
säga
kommer
har
ansökt
var
var
är
kan
överleva
kommer
är
är
blev
beror
är
är
ta
tillverkas
är
kommer
genomföra
blir
sälja
blir
förlorar
finns
måste
tänka
kommer
hända
finns
anser
erbjuder
är
bo
arbetar
är
hade
borde
var
bo
tycker
är
tog
tog
kommer
förstöra
måste
räkna
kommer
uppstå
vet
har
förvara
är
kan
betyda
vill
kan
betyda
förrika
är
måste
ta
måste
bygga
var
hade
avslutat
var
ringde
bestämde
skulle
gå
äta
gå
träffades
hade
förberett
skulle
hjälpa
slippa
betala
var
kom
satte
åt
valde
slog
beställde
drack
var
var
betala
hade
tog
placerade
tittade
försökte
hålla
kallade
protestera
var
hade
började
jobba
krävde
skulle
behöva
betala
var
inträffat
låta
tänka
lämnade
hade
varit
tänkte
göra
såg
bestälde	beställde
hade
ätit
placerade
visade
hade
kommit
få
var
sa
behövde
betala
skrattade
tyckte
var
hade
vet
gick
kan
vara
finns
viste	visste
kom
märkte
visste
hade
hört
talas
hade
varit
kan
se
har
fått
vara
är
är
finns
komma
påverka
få
är
bor
finns
är
är
kan
jobba
betyder
är
måste
bo
blir
kan
börja
jobba
är
lämnar
bor
påverka
är
spelar
står
Sverige
är
är
är
betonas
är
förändras
är
är
är
det
händer
har
använt
är
är
har
förbättrats
kommer
kräva
drabbas
är
kommer
ge
tänka
leva
kan
hjälpa
förstå
bygga
krävs
ligger
börjar
handlar
handlar
var
blev
var
jobbad	jobbade
har
utmärkt
utföra
visa
finns
söker
vill
ta
är
söker
finns
gratuleras
kan
ägna
består
handlar
har
gift
handlar
tycks
vara
tacka
händer
ägnar
får
veta
har
äger
visar
är
saknar
avlidit
finns
är
handlar
finns
gifter
firar
minns
kan
säga
uppfostrades
hade
skulle
uppfostras
var
trodde
gjorde
var
var
försökte
prata
skulle
förstå
gjorde
var
var
har
ändrats
har
uppfostrats
tappat
menar
förstår
bidrar
kan
bli
har
uppmuntrat
lämna
har
varit
är
lyckas
har
har
bor
tycker
är
läser
har
trivs
trivs
tycker
är
tycker
ska
försöka
förstå
hjälpa
följa
vet
är
är
är
har
uppfostras
är
tänka
heter
är
är
bor
är
studerar
har
är
Bor
är
är
vacknar	vaknar
dushar	duschar
dricker
äter
gör	går
tittar
studerar
pratar
är
har
är
skriver
talar
heter
bor
Vad
gör
Är
är
har
är
har
tallar	talar
kommer
gör
är
går
äter
har
slutar
har
kommer
säger
Titta
ser
svara	svarar
är
kan
går
har
dricke	dricker
gör
kommer
ser
går
har
äter
dricker
var
var
kommer
har
var
gick
pratar
äter
tittar
var
var
se
har
studerar
är
vacknar	vaknar
dushar	duschar
dricker
äter
har
går
träffa
tänker
är
står
väntar
ska
kommer
ska
sälja
har
öppna
tittar
se
har
säger
finns
talar
dör
frågor	frågar
kryper
gör
sitt	sätter
ska
borjar	börjar
sälja
borjar	börjar
finns
har
går
arbetar
planneara	planerar
arbetar	arbeta
****************************
****************************
****************************
på
en
kontor
,
där
ska
tjänar
lite
pengar
eller
gör
några
arbete
.
Tänker
jag
att
besöka
min
familjen
i
Mocambique
,
där
har
jag
mitt
huset
också
.
På
semesterresa
jag
kan
spela
basketboll
,
jag
kan
reparera
TV
.
Många
vänner
kommer
till
mitt
huset
och
deras
pratar
mycket
,
lyssnar
musik
,
tittar
på
TV
.
Vi
kan
gå
på
discotek
eller
bio
i
kvälen
.
Jag
är
fri
och
har
jag
inte
så
mycket
problemet
.
Jag
kan
läsa
laga
mat
med
min
mamma
ibland
.
Kära
vän
!
Just
nu
jag
är
i
Sverige
och
studerar
jag
på
Stockholms
universitet
.
Jag
läse
svenska
där
.
Nu
,
jag
kan
redan
förstås
eller
pratar
lite
svenska
.
I
Stockholms
universitet
finns
många
olika
aktiviteterna
,
tex
:
Jag
tycker
om
sport
,
kultur
och
religion
men
har
andra
aktiviteterna
där
(
musik
,
politik
diskurs
,
träffas
,
resa
och
arbetar
)
.
Förra
vecka
gick
jag
till
en
religion
programett
.
Det
var
brå
eller
intresserad
,
därför
vi
diskutera
cirka
en
tid
om
,
nya
situationen
i
värdeln
,
tex
:
problem
i
Arabic
land
och
problem
med
barn
i
Afrika
,
men
inte
så
många
människorna
gå
till
det
programett
,
kanske
svenskarna
gilla
stäna
hem
,
tycker
jag
.
När
kan
jag
träffar
du
?
Sen
vi
kan
gå
spelar
basketboll
.
Nu
,
har
jag
brå
intryck
om
universitet
men
jag
måste
kontaktera
mera
svenska
,
för
jag
vet
inte
så
mycket
.
Så
du
kan
svar
till
mig
hoppas
jag
.
Jag
kan
sluta
och
skriv
snart
igen
.
Hälsa
familj
.
Vi
sess
.
NN
.
Jag
kommer
till
Sverige
studerar
på
Stockholms
universitet
,
därför
tycker
jag
svenska
diploma
är
brå
i
mitt
land
och
har
jag
mitt
familj
där
.
Jag
har
specialintresse
av
ekonomi
,
computers
eller
imformatik
.
Ja
visst
,
det
är
jättesvårt
för
alla
Afrikaner
studerar
där
,
därför
första
vi
måste
studerar
svenska
.
Jag
har
intresserad
av
ekonomi
för
i
mitt
land
,
du
kan
arbetar
på
banken
,
och
där
finns
många
ekonomik
problemett
.
Nu
,
finns
krisis
i
alla
värdeln
men
man
måste
jobba
för
det
situation
.
I
ekonomi
i
mitt
land
du
måste
vara
brå
i
geografi
,
matematik
,
kultur
eller
historia
.
Jag
tänker
inte
av
politik-ekonomi
,
därför
har
några
problem
.
I
mitt
land
det
är
faktist
,
att
använda
kunskaper
.
Till
ex
:
I
mitt
land
vi
måste
arbetar
mera
,
därför
situation
ekonomik
är
inte
så
brå
.
Vi
har
mycket
problem
,
och
där
finns
inte
middelklass
.
Det
är
en
rika
land
och
alla
människor
frågar
"
Värför
har
ni
några
problem
?
"
Kära
vän
.
Jag
har
en
roliga
historia
som
jag
har
varit
med
om
på
tunnelbanan
.
Forra
vecka
när
jag
åkte
tunnelbanan
en
man
tittade
för
mig
och
han
skrattade
mycket
.
Jag
var
lite
nervös
,
för
jag
vet
inte
,
värför
han
var
glad
.
Jag
började
röker
ett
cigarret
men
jag
var
mycket
nervös
och
min
packet
av
cigarretet
gick
nere
.
Efter
en
lite
sekund
jag
tänker
snabbt
och
jag
knöt
hans
skosnören
i
stolen
.
Sen
jag
ska
dansade
till
hans
och
han
kände
lycklig
.
Så
han
var
mycket
glad
och
sta
upp
,
men
när
han
vill
komme
til
mig
och
dansa
,
han
gick
nere
på
golvet
,
för
jag
ska
knöt
hans
skosnören
i
stolen
.
Sen
jag
ska
borjar
skrattade
och
jag
sågt
till
han
att
jag
är
mycket
bättre
!
(
Min
kompis
.
)
Forra
vecka
när
jag
åkte
tunnelbanan
,
jag
se
en
vacker
kvinna
.
Jag
ska
tittade
för
honon
och
hon
var
nervös
.
Det
var
fantastik
upplevde
.
Hon
började
röker
ett
cigarrett
och
jag
läste
tidningar
.
Sen
hennes
packet
av
cigarrettet
gick
nere
,
for
hon
var
mycket
nervös
.
Efter
några
sekunder
hon
började
dansa
för
mig
,
jag
vet
inte
,
värför
?
Hon
dansade
perfekt
och
jag
var
lycklig
!
När
jag
stå
upp
och
jag
vill
gick
till
honom
och
kyssa
,
jag
gick
nere
på
golvet
.
Jag
var
nervös
och
hon
var
ut
av
T-banan
och
hon
skrattade
mycket
,
för
hon
hade
knöt
min
skosnören
i
stolen
.
Jag
kände
dig
barnen
!
Det
var
varit
med
om
på
tunnelbanan
,
för
första
gången
.
Nu
jag
redan
vet
svenska
tidningar
och
jag
hade
en
studiebesökt
på
DN
och
jag
kan
förklar
någonting
om
det
tidningen
.
Dagens
nyheter
är
berömde
i
Sverige
och
har
en
liberal
inrikg
.
Det
tidningen
är
också
objektiva
.
På
DN
finns
många
artikel
,
som
är
mycket
intressant
.
Jag
har
en
speciellt
intressen
om
politik
,
kultur
eller
sport
,
men
tex
på
politik
artikel
det
finns
några
problemen
,
för
redaktör
är
neutral
.
På
DN
det
finns
inte
så
mycket
nyheter
om
Afrika
eller
Sydamerika
.
I
mitt
hemland
vi
har
tre
tidningar
och
en
sporttining
.
De
är
dåligt
,
för
det
finns
inte
aktuellt
i
nyheter
.
Alla
tidningen
har
en
politik
uppförande
,
därför
de
är
finanserade
av
Partiledare
.
På
alla
tidningen
det
bra
artikel
om
lokal
situationen
och
jag
tror
att
vi
har
bra
journalister
.
Kanske
,
när
kan
man
börjar
att
skriva
fri
,
det
gå
bra
!
Vi
har
kriget
med
Irak
,
för
Irak
hade
flykt
i
Koweit
illegal
.
Jag
tycker
att
Saddan
Hussein
är
ansvarig
om
situationen
i
Persiska
vika
,
för
han
attakerade
Koweit
,
en
lite
länd
.
Saddan
Hussein
är
fanatisk
,
men
vet
han
inte
att
god
tycker
inte
om
krig
.
Det
situationen
är
en
stor
problemen
för
världen
,
men
till
slut
kriget
mot
Irak
,
alla
soldater
måste
gå
ut
av
Koweit
.
Amerika
tycker
inte
om
krig
,
för
vi
har
positiner
i
världen
.
Inom
kriget
började
,
vi
hade
conversation
med
Irak
ledares
.
Jag
tycker
att
Irak
kan
inte
vin
det
krig
.
Nu
dödade
många
personer
i
Irak
och
i
andra
länder
,
men
Saddan
Hussein
måste
svara
för
det
.
Till
slut
jag
kan
säga
för
alla
världen
att
amerikaner
soldaterna
skulle
stoppa
krig
,
när
Koweit
är
fri
!
Jag
har
en
kopia
av
familjesidan
i
ett
nummer
av
Dagens
Nyheter
.
På
familjesidan
i
Dagens
Nyheter
man
kan
se
kort
artikel
,
födelsedagar
,
dödsimformation
,
sökes
och
lite
mer
.
Jag
tycker
att
familjesidan
är
en
sida
,
som
man
använda
för
kort
imformationer
.
Ibland
man
brukar
att
gratulerar
andra
personer
.
I
tidning
i
mitt
hemland
,
vi
har
samma
nyheter
,
men
det
finns
någonting
jämforelse
,
tex
när
man
läser
en
Mocambiques
tidning
,
som
kallas
"
Nyheter
"
,
du
kan
titta
på
en
sida
med
bara
dödsimformationer
och
lite
reklam
.
Det
är
viktigt
,
när
en
personer
dög
man
måste
skriva
någonting
om
det
,
så
dödsimformationer
är
skillnaden
mellan
Dagens
Nyheter
och
Nyheter
.
Om
andra
imformationer
(
födelsedagar
,
sökes
,
gratulerar
)
är
liknande
och
vi
har
samma
sistema
,
kort
imformationer
.
Men
ibland
man
försökt
förklara
någonting
om
familjesliv
i
andra
landet
och
det
finns
fotografier
också
.
Man
tänker
alltid
om
barn
,
men
det
finns
många
ideér
.
I
20
år
sedan
var
barn
någonting
,
som
man
respektera
och
någonting
viktigt
i
en
familj
.
I
det
tid
man
kontrollera
inte
hur
många
barn
måste
har
en
familje
och
de
fanns
familjen
med
många
barn
.
Barnen
var
en
typiskt
symbol
i
världen
.
Idag
i
alla
världen
finns
många
problemen
för
barnen
.
I
utvecklade
landet
,
man
tänker
om
en
eller
två
barn
,
därför
att
måste
man
betala
mycket
för
barn
i
skola
,
sjukhus
och
något
annat
,
så
i
Europa
det
finns
inte
så
mycket
familjes
med
många
barn
.
Men
i
Afrika
,
Sydamerika
och
Asien
sitoationer
är
dramatik
för
många
barn
.
Man
har
större
familjen
med
dåligt
liv
,
det
finns
inte
bra
mat
,
det
finns
inte
kontrol
av
alla
barn
och
många
barn
döda
med
olika
sjukdom
.
I
framtiden
jag
tycker
att
situatoner
skulle
vilja
mycket
bätter
för
barnen
,
men
man
måste
göra
någonting
att
kontrollera
barn
,
för
barnen
är
alltid
en
symbol
i
ett
land
.
Två
vänner
på
en
restaurang
.
Det
var
en
vacker
dag
,
när
två
vänner
gick
på
en
restaurang
för
att
äter
lunch
utan
betala
pengar
.
Magnus
och
Leif
gick
på
en
fint
restaurang
.
De
åt
goda
maten
där
och
Magnus
hade
med
sig
en
fluga
.
Sen
han
beslutade
att
göra
en
trick
och
han
placerade
denna
fluga
på
talrik
.
Eftersom
kommer
servitris
att
tar
pengarna
,
men
Leif
säger
till
honon
:
Vi
kan
inte
betala
,
det
finns
en
fluga
i
mitt
talriket
.
Sen
Magnus
,
Leif
hade
en
avtal
med
det
servitris
och
de
hade
lunch
utan
betalade
pengar
.
De
var
glad
och
skrattade
mycket
.
Sen
de
gick
till
en
kafé
och
gjorde
samma
trick
.
När
de
slutade
Leif
placerade
denna
fluga
på
glas
och
visade
servitris
.
Till
slut
de
gick
hem
och
de
hade
en
trevlig
dag
.
Sverige
är
ett
land
med
många
invandrigen
.
Migrationen
kan
förändra
det
svenska
samhället
på
många
sätt
,
därför
människorna
som
kommer
till
sverige
har
olika
kultur
eller
seder
.
Det
finns
många
problem
med
invandringen
,
för
några
personer
som
är
invandrare
gör
ingenting
och
det
är
svårt
att
ordna
arbeta
eller
klara
sig
med
sin
situation
,
men
det
finns
också
många
invandrare
som
har
ett
positivt
värde
,
därför
de
har
alltid
följdt
.
Det
är
viktigaste
för
att
Sverige
ska
fungera
bra
som
invandringsland
,
kontrollera
vem
kommer
här
eller
vad
ska
de
kan
göra
i
Sverige
,
tex
:
Sverige
kan
inte
acceptera
människor
med
dålig
kvalifikation
och
människor
som
hade
problem
med
stölden
.
Men
det
är
svårt
att
kontrollera
migration
.
Hej
Carlos
,
Hur
mår
du
?
Jag
mår
bra
.
Idag
jag
kan
skriva
någonting
om
Sverige
eller
universitetslivet
,
därför
du
vill
gärna
veta
hur
det
är
att
leva
och
studera
här
som
utländsk
student
.
Sverige
är
ett
kallt
land
med
cirka
5
månader
av
snö
och
de
flesta
svenskarna
är
tyst
.
I
början
är
mycket
svårt
att
ordna
vänner
och
den
är
första
negativ
punkt
.
Andra
punkt
är
det
spelar
ingen
roll
om
du
är
i
Sverige
talar
andra
språket
,
trots
alla
svenskarna
har
goda
kunskap
i
engelska
.
Om
livet
du
måste
kontrollera
själv
pengar
eller
vad
ska
du
göra
och
den
är
viktig
.
Studiessystemet
är
mycket
intressant
och
det
kostar
inte
så
mycket
,
när
man
studera
här
.
På
universitet
finns
allt
,
böcker
,
ett
stor
bibliotek
,
bra
lärare
och
alla
modern
materiell
som
man
behöva
.
Nu
vi
redan
började
sommer
och
alla
människor
är
glada
.
Ibland
solen
skiner
och
alla
åkte
till
gården
.
Förre
du
kommer
till
Sverige
du
måste
försöka
att
veta
någonting
om
svensk
språket
.
NN
Jag
kan
sluta
här
och
lycka
till
.
Sverige
är
ett
speciellt
land
med
en
bra
politik
systemet
,
därför
att
det
är
viktig
när
man
ser
ett
land
med
alla
människör
med
bra
utbildning
liksom
här
.
Jag
vet
också
att
alla
svenskarna
har
plats
i
sverige
.
Men
problemet
är
skatt
,
maten
är
dyr
,
klädder
är
också
dyr
och
andra
söcker
.
Idag
har
sverige
problemet
med
arbeslöhet
,
kanske
för
det
finns
många
invandrare
i
Sverige
och
den
är
en
viktig
ekonomi
problemet
.
I
Sverige
har
alla
kvinnor
samma
frihet
liksom
man
.
Det
finns
också
många
negativ
punkt
,
men
jag
tror
att
första
man
måste
veta
att
sverige
är
ett
utvecklade
land
och
i
alla
dessa
land
finns
alltid
,
några
social
problemet
tex
självmord
,
narkotika
problemet
som
det
finns
inte
i
U-länder
.
Om
man
tror
att
i
sverige
finns
många
problemen
är
for
att
här
finns
allt
.
På
restauranger
.
Det
var
en
vacker
dag
och
två
vänner
gick
på
restauranger
.
De
heter
Sven
och
Lennart
.
De
gick
till
en
vanlig
svensk
restaurang
utan
pengar
.
När
de
började
äter
middag
klockan
var
vid
7-tiden
och
de
slutade
30
minuter
sedan
.
Sven
hade
med
sig
en
fluga
i
en
låda
.
Sen
kom
en
kypare
och
Sven
som
hade
läggat
den
här
flugan
i
sin
tallrik
sade
:
"
Titta
på
tallriken
och
kyparen
stannade
kvar
för
en
lite
stund
och
sen
svarade
.
Det
är
en
fluga
.
"
-
Javisst
,
sade
Lennart
och
sen
båda
Sven
och
Lennart
skrickade
:
Vi
kan
inte
betala
mat
,
annars
det
blir
ett
problem
för
restauranger
.
Efteråt
gick
de
till
ett
kaffe
och
fortfarande
hade
de
inte
några
penga
.
De
drack
kaffe
och
gjorde
samma
tryck
,
men
den
här
gången
kypare
kom
och
såg
glaset
med
en
fluga
istället
för
en
tallrik
med
en
fluga
.
Sedan
gick
de
hem
och
de
var
mycket
lyckliga
därför
att
åt
de
middag
och
drack
kaffe
men
inte
betala
några
pengar
.
Såna
saker
som
det
,
händer
dag
på
dag
i
restauranger
.
Jag
kommer
från
Mocambique
,
ett
land
som
i
över
15
år
kämpade
ett
blodigt
inbördeskrig
.
Idag
och
på
nästa
20
år
kommer
de
flesta
ungdomar
i
Mocambique
med
många
,
många
problem
.
Ibland
tänker
jag
på
alla
som
kan
inte
gå
i
skolan
och
de
som
vet
vad
de
vill
,
men
i
praktiken
de
har
ingenting
.
-
Det
finns
många
som
ser
ingen
framtid
,
däremot
med
kriget
man
faktiskt
riskerar
att
bli
dödad
vad
som
helst
.
Men
jag
själv
är
optimistisk
,
därför
att
Mocambique
är
definitivt
på
väg
till
fred
och
sen
alla
ska
bli
glada
.
En
positiv
sak
som
jag
vill
skriva
är
relationen
till
familj
och
för
mig
och
de
flesta
afrikaner
är
familjen
den
första
bild
av
trygghet
man
ser
framför
sig
.
Man
lär
sig
också
att
älska
vad
man
har
omkring
sig
.
Sen
tror
de
flesta
afrikaner
på
naturen
och
det
visar
såna
saker
som
en
europeisk
inte
kan
.
Sverige
är
ett
utvecklat
land
och
man
kan
tänka
på
vad
som
